Sale Date,Local Item Code,Brand Name,Size,Quantity(Case),Quantity(Loose Bottle)
10/10/2023,SCMIT668346,7 Rivers Maccha Wheat Beer .,330 ML,,
10/10/2023,SCMIT668391,7 Rivers Maccha Wheat Beer .,330 ML (CAN),,
10/10/2023,SCMIT668436,7 Rivers Maccha Wheat Beer .,500 ML (CAN),,
10/10/2023,SCMIT668481,7 Rivers Maccha Wheat Beer .,15 Ltr,,
10/10/2023,SCMIT668526,7 Rivers Maccha Wheat Beer .,30 Ltr,,
10/10/2023,SCMIT668571,7 Rivers Maccha Wheat Beer .,50 Ltr,,
10/10/2023,SCMIT668616,7 Rivers Veere Wheat Beer .,330 ML,,
10/10/2023,SCMIT668661,7 Rivers Veere Wheat Beer .,330 ML (CAN),,
10/10/2023,SCMIT668706,7 Rivers Veere Wheat Beer .,500 ML (CAN),,
10/10/2023,SCMIT668751,7 Rivers Veere Wheat Beer .,15 Ltr,,
10/10/2023,SCMIT668796,7 Rivers Veere Wheat Beer .,30 Ltr,,
10/10/2023,SCMIT668841,7 Rivers Veere Wheat Beer .,50 Ltr,,
10/10/2023,SCMIT45681,8 PM SMOOTH IND WHISKY BL.SC .,90 ML(100),,
10/10/2023,SCMIT45726,8 PM SMOOTH IND WHISKY BL.SC .,180 ML,,
10/10/2023,SCMIT45771,8 PM SMOOTH IND WHISKY BL.SC .,180 ML (Pet),,
10/10/2023,SCMIT45816,8 PM SMOOTH IND WHISKY BL.SC .,375 ML,,
10/10/2023,SCMIT45861,8 PM SMOOTH IND WHISKY BL.SC .,750 ML,,
10/10/2023,SCMIT45906,8 PM SMOOTH IND WHISKY BL.SC .,1000 ML,,
10/10/2023,SCMIT838041,8 PM Special Whisky .,90 ML (Pet)-100,,
10/10/2023,SCMIT838086,8 PM Special Whisky .,180 ML,,
10/10/2023,SCMIT838131,8 PM Special Whisky .,180 ML (Pet),,
10/10/2023,SCMIT838176,8 PM Special Whisky .,375 ML (Pet),,
10/10/2023,SCMIT841731,8 PM Special Whisky .,375 ML,,
10/10/2023,SCMIT838221,8 PM Special Whisky .,750 ML (Pet),,
10/10/2023,SCMIT900366,8 PM Special Whisky .,750 ML,,
10/10/2023,SCMIT841776,8 PM Special Whisky .,1000 ML(Pet),,
